,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
0,921018,6,9,Very good,10.0,2-3 times a month,178.0,64.0,Male,1990
1,921026,8,8,Very good,,Several times a week,172.0,64.0,Female,1948
2,921034,8,8,Good,,Every day,176.0,87.0,Male,1957
3,921076,8,8,Good,,Several times a week,162.0,70.0,Female,1958
4,921084,5,8,Very good,,Every day,175.0,80.0,Male,1936
5,921131,8,8,Fair,,Several times a week,160.0,70.0,Female,1940
6,921165,8,Extremely happy,Good,,Once a week,167.0,78.0,Female,1965
7,921181,9,9,Fair,,Once a week,194.0,102.0,Male,1956
8,921199,9,8,Fair,20.0,2-3 times a month,176.0,62.0,Female,1993
9,921204,9,8,Good,,Once a week,157.0,48.0,Female,1941
10,921220,8,8,Fair,,Every day,178.0,80.0,Male,1949
11,921254,7,4,Very good,,Once a week,185.0,70.0,Male,1977
12,921262,8,8,Very good,,2-3 times a month,180.0,93.0,Male,1987
13,921288,8,8,Very good,,Several times a week,191.0,95.0,Male,1949
14,921296,5,9,Good,,Once a week,202.0,108.0,Male,1988
15,921319,8,Extremely happy,Fair,10.0,Once a week,185.0,82.0,Male,1997
16,921327,9,9,Good,,Once a week,182.0,97.0,Male,1940
17,921335,8,9,Good,,Several times a week,178.0,84.0,Male,1945
18,921377,7,9,Good,,2-3 times a month,169.0,68.0,Male,1948
19,921393,7,8,Very good,,Less than once a month,184.0,67.0,Male,1985
20,921408,7,9,Fair,1.0,Several times a week,203.0,104.0,Male,1977
21,921416,8,Extremely happy,Very good,40.0,Several times a week,186.0,83.0,Male,1953
22,921424,7,9,Very good,,Several times a week,193.0,80.0,Male,1993
23,921432,6,Extremely happy,Very good,6.0,Once a week,180.0,90.0,Male,1989
24,921440,9,9,Good,,Once a week,178.0,76.0,Male,1975
25,921474,3,6,Fair,8.0,Less than once a month,160.0,70.0,Female,1980
26,921490,4,Extremely happy,Very good,,Never,167.0,62.0,Female,1965
27,921505,8,8,Good,,2-3 times a month,185.0,83.0,Male,1968
28,921521,6,9,Good,,Several times a week,191.0,75.0,Male,1987
29,921539,7,9,Very good,5.0,Less than once a month,170.0,78.0,Female,1982
30,921547,5,8,Good,,Once a month,164.0,68.0,Female,1999
31,921563,4,8,Good,8.0,Several times a week,180.0,70.0,Male,1954
32,921571,8,9,Fair,5.0,Less than once a month,163.0,92.0,Female,1978
33,921589,8,9,Very bad,,Never,142.0,50.0,Female,1931
34,921610,6,9,Good,,Less than once a month,170.0,60.0,Female,1978
35,921628,7,8,Fair,,2-3 times a month,162.0,78.0,Female,1941
36,921636,9,8,Very good,,2-3 times a month,185.0,68.0,Male,1996
37,921652,7,7,Very good,,Once a week,172.0,65.0,Female,1987
38,921660,8,6,Very good,,2-3 times a month,173.0,76.0,Male,1941
39,921678,4,Extremely happy,Very good,10.0,Every day,178.0,65.0,Male,1946
40,921733,5,3,Fair,,Several times a week,182.0,95.0,Male,1960
41,921814,9,Extremely happy,Very good,,Never,196.0,90.0,Male,1972
42,921856,7,8,Very good,,2-3 times a month,158.0,79.0,Female,1969
43,921864,8,7,Bad,20.0,Several times a week,169.0,66.0,Male,1994
44,921872,4,5,Very bad,15.0,Never,165.0,69.0,Female,1983
45,921880,7,9,Good,,Once a week,180.0,80.0,Female,1963
46,921898,8,Extremely happy,Very good,,2-3 times a month,177.0,66.0,Female,1966
47,921903,8,Extremely happy,Very good,3.0,2-3 times a month,170.0,76.0,Male,1967
48,921911,5,1,Bad,20.0,Every day,175.0,98.0,Male,1969
49,921937,4,4,Very good,10.0,Several times a week,180.0,64.0,Male,1994
50,921945,6,7,Very good,,Once a week,183.0,106.0,Male,1976
51,921953,8,9,Fair,,Every day,172.0,82.0,Female,1935
52,921987,7,7,Very good,,Once a week,179.0,74.0,Male,1964
53,922006,7,Extremely happy,Good,20.0,Less than once a month,167.0,106.0,Female,1964
54,922014,5,9,Fair,,2-3 times a month,161.0,50.0,Female,1991
55,922048,9,3,Bad,0.0,Every day,165.0,70.0,Male,1929
56,922056,6,8,Good,,Every day,153.0,58.0,Female,1973
57,922072,7,9,Very good,,Once a month,162.0,69.0,Female,1988
58,922080,5,6,Fair,20.0,Several times a week,184.0,87.0,Male,1975
59,922098,4,9,Very good,3.0,Less than once a month,186.0,69.0,Male,1947
60,922103,9,8,Good,20.0,Every day,189.0,76.0,Male,1949
61,922111,8,9,Very good,,Every day,169.0,60.0,Female,1944
62,922129,4,8,Good,,Several times a week,185.0,70.0,Male,1998
63,922200,8,8,Good,,Once a month,188.0,105.0,Male,1975
64,922226,5,8,Good,,Several times a week,173.0,80.0,Male,1941
65,922250,8,8,Fair,,Several times a week,178.0,72.0,Female,1937
66,922268,9,Extremely happy,Very good,8.0,Several times a week,170.0,85.0,Female,1971
67,922276,9,Extremely happy,Bad,,Several times a week,171.0,50.0,Male,1952
68,922284,7,8,Good,6.0,Every day,176.0,77.0,Male,1947
69,922292,8,Extremely happy,Very good,,Once a week,169.0,65.0,Female,1968
70,922315,7,7,Very good,,Several times a week,183.0,88.0,Male,1942
71,922323,6,8,Fair,,Once a week,155.0,47.0,Female,1940
72,922381,5,9,Good,,Less than once a month,177.0,75.0,Male,1969
73,922399,8,9,Good,,Less than once a month,176.0,73.0,Male,1959
74,922404,8,Extremely happy,Very good,,Once a week,177.0,63.0,Male,1999
75,922412,8,9,Good,,2-3 times a month,172.0,67.0,Female,1962
76,922420,7,Extremely happy,Good,,Once a month,164.0,74.0,Female,1976
77,922454,8,8,Good,,Less than once a month,170.0,68.0,Female,1991
78,922462,Most people can be trusted,Extremely happy,Very good,,Once a week,160.0,60.0,Female,1968
79,922470,9,8,Fair,,Once a week,153.0,62.0,Female,1936
80,922501,9,8,Very good,,Several times a week,165.0,64.0,Female,1970
81,922519,8,8,Good,,Several times a week,178.0,78.0,Male,1953
82,922535,8,9,Very good,,2-3 times a month,176.0,82.0,Male,1964
83,922543,2,Extremely happy,Fair,,Never,155.0,64.0,Female,1970
84,922569,3,3,Fair,,Once a month,165.0,58.0,Female,1980
85,922577,6,9,Fair,,2-3 times a month,168.0,79.0,Male,1943
86,922593,Most people can be trusted,8,Fair,15.0,Every day,163.0,50.0,Female,1968
87,922608,5,9,Very good,,Every day,182.0,80.0,Male,1982
88,922616,Most people can be trusted,9,Good,,2-3 times a month,180.0,92.0,Male,1953
89,922624,5,8,Fair,,Every day,163.0,54.0,Female,1954
90,922640,8,9,Very good,,Once a week,172.0,68.0,Female,1946
91,922658,5,Extremely happy,Good,,2-3 times a month,183.0,91.0,Male,1985
92,922690,4,9,Good,5.0,Less than once a month,170.0,47.0,Female,1993
93,922713,7,8,Good,,Several times a week,166.0,68.0,Female,1947
94,922721,7,9,Good,,2-3 times a month,182.0,87.0,Male,1965
95,922739,8,9,Very good,15.0,Several times a week,192.0,88.0,Male,1968
96,922763,5,7,Good,,Once a week,187.0,110.0,Male,1967
97,922771,8,8,Good,,Never,165.0,63.0,Female,1990
98,922789,7,8,Very good,,Once a month,178.0,102.0,Male,1949
99,922802,9,9,Good,,Less than once a month,164.0,64.0,Female,1990
100,922852,2,8,Fair,,2-3 times a month,188.0,92.0,Male,1986
101,922860,8,8,Very good,,2-3 times a month,159.0,64.0,Female,1993
102,922886,6,5,Very good,,Never,160.0,74.0,Female,1932
103,922894,8,Extremely happy,Very good,,Several times a week,168.0,60.0,Female,1964
104,922925,9,8,Very good,15.0,Once a week,186.0,66.0,Male,1986
105,922933,9,9,Fair,,Less than once a month,160.0,98.0,Female,1965
106,922941,7,2,Bad,,Less than once a month,185.0,99.0,Male,1991
107,922959,8,9,Good,1.0,Once a month,185.0,84.0,Male,1998
108,922967,8,7,Fair,,Once a week,185.0,125.0,Male,1977
109,922975,8,8,Very good,,Every day,178.0,63.0,Male,1967
110,922983,6,7,Good,15.0,Once a week,160.0,54.0,Female,1947
111,922991,8,9,Good,,2-3 times a month,166.0,60.0,Female,1934
112,923052,8,Extremely happy,Good,,2-3 times a month,157.0,62.0,Female,1931
113,923060,8,9,Good,,Several times a week,174.0,76.0,Male,1940
114,923094,5,8,Fair,,2-3 times a month,165.0,58.0,Female,1986
115,923109,8,9,Good,,Less than once a month,158.0,101.0,Female,1946
116,923125,5,8,Very good,0.0,2-3 times a month,178.0,91.0,Male,1987
117,923133,9,8,Fair,3.0,Once a week,172.0,65.0,Female,1958
